date,value
2024-01-08,14739.47793304291
2024-01-15,14875.09368312064
2024-01-22,15349.218994985475
2024-01-29,15881.888954248758
2024-02-05,16175.91975745928
2024-02-12,16580.18160628125
2024-02-19,16501.844807999576
2024-02-26,17008.332822703735
2024-03-04,17639.871582386208
2024-03-11,17440.086626907767
2024-03-18,17989.36177033942
2024-03-25,18402.88808974653
2024-04-01,17920.1308386234
2024-04-08,18915.453271027876
2024-04-15,19001.83646476212
2024-04-22,19395.353056815176
2024-04-29,19930.85982655293
2024-05-06,19684.865021610094
2024-05-13,20617.29165927454
2024-05-20,19933.206435289365
2024-05-27,20399.57355359405
2024-06-03,20913.83175293768
2024-06-10,21328.401838201284
2024-06-17,20917.214147480663
2024-06-24,21964.110330073916
2024-07-01,22093.024518502218
2024-07-08,22224.251377349538
2024-07-15,22393.425534113798
2024-07-22,21331.51551630302
2024-07-29,22638.759349147353
2024-08-05,22772.29507214849
2024-08-12,23303.416672609324
2024-08-19,22955.631388299164
2024-08-26,23092.719265272925
2024-09-02,23924.046077811778
2024-09-09,24191.05191267737
2024-09-16,24232.910102615006
2024-09-23,24607.9052240737
2024-09-30,25328.549696204842
2024-10-07,25050.79968992547
2024-10-14,25322.41832931781
2024-10-21,25848.23552363662
2024-10-28,26022.23391734248
2024-11-04,27332.935245762572
2024-11-11,26785.007053804486
2024-11-18,27402.89966815416
2024-11-25,27413.402086872182
2024-12-02,27871.52609961078
2024-12-09,28287.867661026205
2024-12-16,29511.403774214108
2024-12-23,28988.69981056147
2024-12-30,29536.90440355759
2025-01-06,30256.98454505844
2025-01-13,29962.29015755451
2025-01-20,30176.14460556455
2025-01-27,31214.268976365027
2025-02-03,31296.746619096994
2025-02-10,30807.602527125015
2025-02-17,32531.717903643155
2025-02-24,31960.656002277552
2025-03-03,32472.242387286267
2025-03-10,32810.82587150953
2025-03-17,33442.59367495319
2025-03-24,34335.943275717436
2025-03-31,33956.79388982299
2025-04-07,33923.600263743174
2025-04-14,34398.19145661712
2025-04-21,35278.96623561907
2025-04-28,35002.000803083516
2025-05-05,35322.39548438195
2025-05-12,34570.01538289574
2025-05-19,35585.75963250227
2025-05-26,35852.078036477105
2025-06-02,36572.07413262968
2025-06-09,35270.42727513476
2025-06-16,35793.362054515834
2025-06-23,35237.12396132223
2025-06-30,35983.42842700035
2025-07-07,35757.84285000491
2025-07-14,35686.95249324615
2025-07-21,35459.77048338036
2025-07-28,35401.520375022264
2025-08-04,35108.14431775567
2025-08-11,35796.913075374505
2025-08-18,35751.28659743391
2025-08-25,35012.422269258
2025-09-01,35046.05533437611
2025-09-08,35699.592032776505
2025-09-15,35780.37520352912
2025-09-22,36199.69142000018
2025-09-29,35936.92330972655
