date,value
2024-01-08,14739.47793304291
2024-01-15,14875.09368312064
2024-01-22,15349.218994985475
2024-01-29,15881.888954248758
2024-02-05,16175.91975745928
2024-02-12,16580.18160628125
2024-02-19,16501.844807999576
2024-02-26,17008.332822703735
2024-03-04,17639.871582386208
2024-03-11,17440.086626907767
2024-03-18,17989.36177033942
2024-03-25,18402.88808974653
2024-04-01,17920.1308386234
2024-04-08,18915.453271027876
2024-04-15,19001.83646476212
2024-04-22,19395.353056815176
2024-04-29,19930.85982655293
2024-05-06,19684.865021610094
2024-05-13,20617.29165927454
2024-05-20,19933.206435289365
2024-05-27,20399.57355359405
2024-06-03,20913.83175293768
2024-06-10,21328.401838201284
2024-06-17,21338.03580187621
2024-06-24,21964.110330073916
2024-07-01,21771.48345844654
2024-07-08,22224.251377349538
2024-07-15,22393.425534113798
2024-07-22,21810.699121368074
2024-07-29,22638.759349147353
2024-08-05,22772.29507214849
2024-08-12,22866.160886136608
2024-08-19,22955.631388299164
2024-08-26,23092.719265272925
2024-09-02,23924.046077811778
2024-09-09,24652.757891202444
2024-09-16,24232.910102615006
2024-09-23,24607.9052240737
2024-09-30,25328.549696204842
2024-10-07,25050.79968992547
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,26785.007053804486
2024-11-18,27402.89966815416
2024-11-25,27413.402086872182
2024-12-02,27871.52609961078
