date,value
2024-01-08,2650.991944822393
2024-01-15,2952.7537582171317
2024-01-22,3392.9025484441922
2024-01-29,3599.106174255918
2024-02-05,3993.7675919681596
2024-02-12,4309.563940056429
2024-02-19,4508.587002300157
2024-02-26,4811.3398020967525
2024-03-04,5120.421475566506
2024-03-11,5235.258392028466
2024-03-18,5484.073123004473
2024-03-25,5681.82614601803
2024-04-01,5669.698318852675
2024-04-08,5851.728819393069
2024-04-15,6002.6612372525815
2024-04-22,6198.026331425301
2024-04-29,6215.062569619457
2024-05-06,6142.524030343199
2024-05-13,6296.982080621809
2024-05-20,6097.977219639036
2024-05-27,6124.020305237156
2024-06-03,6147.6829336252285
2024-06-10,6140.6702723444905
2024-06-17,5954.3121211479975
2024-06-24,6067.1090430107415
2024-07-01,5919.826614232978
2024-07-08,5907.949798168152
2024-07-15,5840.719323794703
2024-07-22,5623.297286628516
2024-07-29,5708.876058616808
2024-08-05,5661.350084159598
2024-08-12,5710.575468698023
2024-08-19,5592.74771558238
2024-08-26,5593.886679682735
2024-09-02,5759.249256160388
2024-09-09,5827.9907646186175
2024-09-16,5871.82426511241
2024-09-23,6007.7924059093975
2024-09-30,6238.90609386905
2024-10-07,6285.2252889261035
2024-10-14,6468.933670422392
2024-10-21,6727.93830191877
2024-10-28,6935.062881702106
2024-11-04,7399.183263229193
2024-11-11,7494.746709771597
2024-11-18,7850.051685180003
2024-11-25,8093.639665852332
2024-12-02,8443.050537585546
2024-12-09,8793.888862549733
2024-12-16,9222.000752781187
2024-12-23,9488.051608841526
2024-12-30,9880.861438887732
2025-01-06,10308.77979097253
2025-01-13,10521.80501782927
2025-01-20,10834.563698086831
2025-01-27,11310.18860151364
2025-02-03,11575.349571327044
2025-02-10,11707.702307829331
2025-02-17,12285.279596853019
2025-02-24,12366.902842655178
2025-03-03,12654.622442590386
2025-03-10,12885.462904427764
2025-03-17,13155.466845544353
2025-03-24,13457.288099166786
2025-03-31,13470.892646305596
2025-04-07,13533.359439281721
2025-04-14,13678.639916880747
2025-04-21,13886.136945235097
2025-04-28,13830.927342197294
2025-05-05,13879.86281909146
2025-05-12,13788.384436645345
2025-05-19,13820.216309699934
2025-05-26,13877.254181675175
2025-06-02,13901.504799369886
2025-06-09,13815.987057071878
2025-06-16,13651.460136408534
2025-06-23,13567.37235234707
2025-06-30,13640.213811372187
2025-07-07,13475.38883075512
2025-07-14,13420.359899048293
2025-07-21,13368.535963905717
2025-07-28,13352.440045663641
2025-08-04,13300.128806215918
2025-08-11,13323.343640026304
2025-08-18,13286.7961288886
2025-08-25,13351.795858128415
2025-09-01,13307.662839051301
2025-09-08,13495.767647411774
2025-09-15,13462.238698348223
2025-09-22,13679.721797445329
2025-09-29,13826.709307909417
2025-10-06,13954.48166982247
2025-10-13,14156.63246788529
2025-10-20,14300.042513251145
2025-10-27,14467.764747030022
2025-11-03,14906.188217757028
2025-11-10,15153.570770337577
2025-11-17,15484.449339124796
2025-11-24,15531.358719658076
2025-12-01,16039.709241730485
2025-12-08,16421.566575157514
2025-12-15,16660.13125767776
2025-12-22,17082.31644999627
2025-12-29,17438.183098554662
2026-01-05,17824.653334252806
2026-01-12,18103.283048287205
2026-01-19,18593.56040058736
2026-01-26,18953.55794152154
2026-02-02,19166.99533972768
2026-02-09,19596.153950599473
2026-02-16,19838.605016400827
2026-02-23,20024.65696081824
2026-03-02,20321.52126232983
2026-03-09,20587.74417997803
2026-03-16,20738.86726900889
2026-03-23,20940.658919143552
2026-03-30,20978.596290372374
2026-04-06,21226.719195648344
2026-04-13,21367.52462428764
2026-04-20,21618.986306586783
2026-04-27,21527.38008617954
2026-05-04,21505.26061079049
2026-05-11,21476.546995096254
2026-05-18,21488.71603061268
2026-05-25,21502.892304450277
2026-06-01,21379.16328331724
2026-06-08,21385.504478761824
2026-06-15,21343.5438264501
2026-06-22,21352.769306527403
2026-06-29,21355.758463069425
2026-07-06,21173.010374106583
2026-07-13,21198.74196682405
2026-07-20,21172.393609316816
2026-07-27,21176.23049467128
2026-08-03,20833.363060491556
2026-08-10,21044.56029036248
2026-08-17,20989.836806748383
2026-08-24,21009.952257278368
2026-08-31,21009.53889947329
2026-09-07,21099.1157801494
2026-09-14,21319.815226826388
2026-09-21,21352.986338856328
2026-09-28,21438.299870473318
2026-10-05,21546.71090238974
2026-10-12,21768.822108649838
2026-10-19,21894.435472067475
2026-10-26,22263.258564703603
2026-11-02,22535.893162367676
2026-11-09,22694.521335013993
2026-11-16,23073.4807097383
2026-11-23,23424.698503502823
2026-11-30,23673.08203350083
2026-12-07,24027.41719145291
2026-12-14,24400.624889499857
2026-12-21,24532.78812909895
